Date,Close,High,Low,Open,Volume
2013-01-02,102.29080963134766,102.35962773684714,101.6178903739102,101.69436271427026,9636300
2013-01-03,102.1837158203125,102.50487852309169,101.93901376026945,102.19135838417519,8665200
2013-01-04,102.51252746582031,102.61958170674151,102.07666793779727,102.23724346516049,4759300
2013-01-07,102.09193420410156,102.26016393275829,101.82430448526405,102.22958201301843,6119700
2013-01-08,101.74784088134766,102.08430036742192,101.50315049840745,101.94666421477481,4269800
2013-01-09,102.24492645263672,102.4513807601664,102.00786687503523,102.00786687503523,3898000
2013-01-10,102.8796615600586,102.9102551810373,102.18381420143663,102.61967412197797,6004300
2013-01-11,103.01718139648438,103.0783568943105,102.62720072438017,102.81836977957437,4508000
2013-01-14,103.14725494384766,103.23136986008497,102.77255910460104,102.97138254373043,4298000
2013-01-15,103.29248046875,103.43011660804252,102.65015514931518,102.68837963153986,2966100
2013-01-16,103.14725494384766,103.26960603438232,102.87961339180832,102.94078893707567,3197800
2013-01-17,103.86605072021484,104.14133483381289,103.40723997487078,103.51429425971213,6227500
2013-01-18,104.1760482788086,104.22963845137039,103.66316883525667,103.96171094957819,4922500
2013-01-22,104.67362213134766,104.69658600996678,104.04591163440386,104.20667046524565,4544900
2013-01-23,105.22480773925781,105.3549403143313,104.97984405875862,105.01812109390052,6397800
2013-01-24,105.65345764160156,106.01324066236594,105.30898776739332,105.32428923344102,6288000
2013-01-25,106.11272430419922,106.12038671609886,105.6687365927395,105.93666403809645,4461000
2013-01-28,106.13569641113281,106.31176837139827,105.86778062550135,106.28880449493005,3167700
2013-01-29,106.57966613769531,106.69449718112885,105.97493135876289,105.97493135876289,3946700
2013-01-30,106.21995544433594,106.6869073052296,106.15106377974001,106.57973860013168,5496100
2013-01-31,105.95197296142578,107.33751452138797,105.88308134010849,106.21988871560596,3935300
2013-02-01,106.97005462646484,107.08487396716792,106.43419988851015,106.62557324335036,5234900
2013-02-04,106.074462890625,106.3883064164598,105.91370408136287,106.25817389491729,6536200
2013-02-05,106.7021255493164,107.05425765600634,106.56434234267846,106.58730621045144,5819800
