Date,Open,High,Low,Close
2016-01-04,87.09664163624649,87.31151821923066,84.58974816809796,85.30600344471182
2016-01-05,85.23437791705044,85.59250555535738,84.30324605745241,84.58974816809796
2016-01-06,84.58974816809796,84.58974816809796,82.94236103188605,83.73024183616131
2016-01-07,83.51536525317715,83.51536525317715,81.22334836801278,82.1544802276108
2016-01-08,81.65310153398109,82.65585892124051,81.43822495099694,82.29773128293358
2016-01-11,81.50985047865832,81.5814760063197,80.22059098075336,81.0084717850286
2016-01-12,81.36659942333554,81.65310153398109,80.65034414672166,80.93684625736722
2016-01-13,81.65310153398109,82.36935681059497,81.29497389567416,81.86797811696525
2016-01-14,80.93684625736722,81.22334836801278,80.0057143977692,81.22334836801278
2016-01-15,81.79635258930386,82.36935681059497,80.57871861906028,81.22334836801278
2016-01-18,80.07733992543058,82.08285469994941,79.9340888701078,81.79635258930386
2016-01-19,81.65310153398109,82.01122917228803,81.15172284035138,82.01122917228803
2016-01-20,81.43822495099694,81.43822495099694,79.64758675946226,80.07733992543058
2016-01-21,80.36384203607614,80.65034414672166,79.64758675946226,79.9340888701078
2016-01-22,80.72196967438306,81.08009731269,80.22059098075336,81.0084717850286
2016-01-25,81.65310153398109,82.79910997656327,81.65310153398109,82.44098233825635
2016-01-26,81.65310153398109,81.86797811696525,81.22334836801278,81.65310153398109
2016-01-27,82.22610575527219,82.29773128293358,81.5814760063197,82.01122917228803
2016-01-28,81.86797811696525,82.72748444890189,81.65310153398109,82.44098233825635
2016-01-29,82.36935681059497,84.66137369575935,82.01122917228803,84.51812264043657
2016-01-30,85.16275238938906,85.520880027696,84.80462475108212,85.30600344471182
2016-02-01,85.23437791705044,85.37762897237322,84.66137369575935,85.30600344471182
2016-02-02,85.16275238938906,85.30600344471182,84.51812264043657,85.01950133406628
2016-02-03,84.51812264043657,84.8762502787435,83.94511841914547,84.44649711277519
2016-02-15,83.51536525317715,84.66137369575935,83.22886314253161,84.51812264043657
2016-02-16,84.66137369575935,86.45201188729402,84.66137369575935,86.30876083197124
2016-02-17,86.5236374149554,86.66688847027818,85.87900766600292,85.87900766600292
2016-02-18,87.09664163624649,87.5980203298762,86.66688847027818,87.23989269156927
2016-02-19,87.09664163624649,87.45476927455343,86.81013952560096,87.16826716390788
2016-02-22,87.16826716390788,88.24265007882869,86.73851399793956,87.09664163624649
2016-02-23,87.38314374689205,87.5980203298762,86.95339058092372,87.16826716390788
2016-02-24,87.09664163624649,87.81289691286037,86.23713530430986,86.38038635963262
2016-02-25,86.81013952560096,87.88452244052176,86.66688847027818,87.52639480221482
2016-02-26,87.88452244052176,88.38590113415147,87.23989269156927,87.74127138519898
2016-03-01,87.74127138519898,88.7440287724584,87.52639480221482,88.60077771713563
2016-03-02,89.31703299374949,89.89003721504059,89.17378193842671,89.31703299374949
2016-03-03,89.31703299374949,90.67791801931584,89.31703299374949,90.17653932568614
2016-03-04,90.10491379802475,90.67791801931584,89.89003721504059,90.3914159086703
2016-03-07,90.53466696399308,91.25092224060694,90.10491379802475,90.3914159086703
2016-03-08,90.24816485334752,90.3914159086703,89.53190957673365,90.3197903810089
2016-03-09,90.3197903810089,90.46304143633168,89.74678615971781,90.3914159086703
2016-03-10,90.3197903810089,90.82116907463862,90.03328827036336,90.60629249165446
2016-03-11,90.53466696399308,91.32254776826832,90.3197903810089,91.03604565762278
2016-03-14,91.68067540657526,92.0388030448822,91.60904987891388,91.68067540657526
2016-03-15,91.68067540657526,91.82392646189803,90.24816485334752,90.3197903810089
2016-03-16,90.74954354697724,91.32254776826832,90.74954354697724,91.10767118528416
2016-03-17,92.46855621085051,92.96993490448024,91.75230093423664,92.11042857254358
2016-03-18,92.25367962786636,92.89830937681883,92.11042857254358,92.68343279383468
2016-03-21,92.96993490448024,93.18481148746439,91.96717751722082,92.54018173851189
2016-03-22,92.18205410020497,92.46855621085051,91.4657988235911,92.25367962786636
2016-03-23,92.25367962786636,92.89830937681883,92.0388030448822,92.18205410020497
2016-03-24,92.0388030448822,92.39693068318913,91.25092224060694,92.18205410020497
2016-03-25,92.39693068318913,92.39693068318913,91.60904987891388,91.75230093423664
2016-03-28,91.75230093423664,92.25367962786636,91.3941732959297,91.82392646189803
2016-03-29,91.68067540657526,92.11042857254358,90.9644201299614,91.17929671294556
2016-03-30,91.75230093423664,92.96993490448024,91.68067540657526,92.68343279383468
2016-03-31,93.25643701512577,93.6861901810941,92.32530515552774,92.6118072661733
2016-04-01,92.0388030448822,92.18205410020497,91.10767118528416,91.53742435125248
2016-04-06,90.67791801931584,90.67791801931584,89.31703299374949,89.38865852141087
2016-04-07,89.53190957673365,89.53190957673365,88.24265007882869,89.03053088310395
2016-04-08,88.52915218947423,89.96166274270198,88.52915218947423,89.89003721504059
2016-04-11,89.53190957673365,90.3914159086703,89.03053088310395,90.24816485334752
2016-04-12,90.3197903810089,90.9644201299614,89.89003721504059,90.17653932568614
2016-04-13,90.60629249165446,91.96717751722082,90.60629249165446,91.75230093423664
2016-04-14,92.25367962786636,92.54018173851189,91.82392646189803,92.0388030448822
2016-04-15,91.3941732959297,92.11042857254358,91.03604565762278,92.0388030448822
2016-04-18,91.75230093423664,91.96717751722082,91.4657988235911,91.4657988235911
2016-04-19,92.11042857254358,92.6118072661733,90.9644201299614,91.10767118528416
2016-04-20,90.9644201299614,91.82392646189803,89.60353510439504,89.74678615971781
2016-04-21,90.10491379802475,90.46304143633168,89.60353510439504,90.17653932568614
2016-04-22,90.17653932568614,90.82116907463862,89.96166274270198,90.53466696399308
2016-04-25,90.53466696399308,90.74954354697724,90.10491379802475,90.60629249165446
2016-04-26,90.3914159086703,91.53742435125248,90.3914159086703,90.9644201299614
2016-04-27,90.53466696399308,91.10767118528416,90.24816485334752,90.82116907463862
2016-04-28,90.9644201299614,91.03604565762278,89.03053088310395,89.38865852141087
2016-04-29,88.60077771713563,88.81565430011979,87.88452244052176,88.24265007882869
2016-05-03,88.24265007882869,88.24265007882869,86.95339058092372,87.0250161085851
2016-05-04,87.0250161085851,87.16826716390788,85.66413108301876,86.09388424898708
2016-05-05,86.09388424898708,86.30876083197124,85.4492545000346,86.23713530430986
2016-05-06,85.9506331936643,85.9506331936643,85.16275238938906,85.520880027696
2016-05-09,85.80738213834154,85.9506331936643,85.09112686172766,85.520880027696
2016-05-10,85.520880027696,86.23713530430986,85.09112686172766,85.9506331936643
2016-05-11,86.23713530430986,86.38038635963262,85.30600344471182,85.73575661068016
2016-05-12,85.520880027696,85.9506331936643,85.4492545000346,85.66413108301876
2016-05-13,85.30600344471182,85.30600344471182,84.51812264043657,84.73299922342073
2016-05-16,84.73299922342073,85.520880027696,84.66137369575935,85.37762897237322
2016-05-17,85.4492545000346,86.09388424898708,84.8762502787435,86.02225872132568
2016-05-18,85.520880027696,85.9506331936643,84.8762502787435,85.87900766600292
2016-05-19,85.9506331936643,86.02225872132568,84.94787580640488,85.4492545000346
2016-05-20,85.73575661068016,86.38038635963262,85.37762897237322,85.9506331936643
2016-05-23,86.09388424898708,88.81565430011979,85.73575661068016,88.81565430011979
2016-05-24,88.45752666181285,88.60077771713563,87.88452244052176,87.88452244052176
2016-05-25,88.45752666181285,89.17378193842671,88.45752666181285,88.81565430011979
2016-05-26,88.88727982778117,89.03053088310395,88.52915218947423,89.03053088310395
2016-05-27,89.38865852141087,89.74678615971781,89.10215641076533,89.67516063205643
2016-05-30,89.67516063205643,90.74954354697724,89.53190957673365,90.46304143633168
2016-05-31,90.3197903810089,90.74954354697724,89.96166274270198,90.46304143633168
2016-06-01,90.17653932568614,91.4657988235911,90.17653932568614,91.25092224060694
2016-06-02,91.25092224060694,91.75230093423664,90.82116907463862,91.25092224060694
2016-06-03,91.10767118528416,91.68067540657526,91.10767118528416,91.4657988235911
2016-06-04,91.32254776826832,91.68067540657526,91.25092224060694,91.60904987891388
2016-06-06,91.68067540657526,92.54018173851189,91.17929671294556,91.75230093423664
2016-06-07,92.11042857254358,93.04156043214162,92.11042857254358,92.96993490448024
2016-06-08,93.113185959803,93.90106676407825,93.113185959803,93.47131359810993
2016-06-13,92.11042857254358,92.32530515552774,91.25092224060694,91.32254776826832
2016-06-14,90.9644201299614,91.96717751722082,90.9644201299614,91.89555198955944
2016-06-15,91.89555198955944,92.25367962786636,91.10767118528416,92.0388030448822
2016-06-16,91.82392646189803,91.82392646189803,90.24816485334752,90.74954354697724
2016-06-17,91.4657988235911,92.25367962786636,91.4657988235911,91.75230093423664
2016-06-20,92.39693068318913,92.6118072661733,92.18205410020497,92.39693068318913
2016-06-21,92.39693068318913,93.04156043214162,92.32530515552774,92.75505832149607
2016-06-22,92.75505832149607,93.04156043214162,92.46855621085051,93.04156043214162
2016-06-23,92.82668384915745,92.89830937681883,92.46855621085051,92.82668384915745
2016-06-24,92.75505832149607,92.96993490448024,88.88727982778117,90.3914159086703
2016-06-27,90.53466696399308,91.32254776826832,90.24816485334752,91.32254776826832
2016-06-28,90.3914159086703,91.75230093423664,90.3197903810089,91.68067540657526
2016-06-29,91.89555198955944,93.113185959803,91.89555198955944,92.68343279383468
2016-06-30,93.32806254278717,93.75781570875549,92.6118072661733,93.75781570875549
2016-07-01,94.33081993004657,95.11870073432185,94.04431781940104,94.90382415133767
2016-07-04,94.6889475683535,95.62007942795154,94.54569651303073,94.97544967899906
2016-07-05,94.83219862367629,94.90382415133767,94.33081993004657,94.6889475683535
2016-07-06,93.97269229173963,93.97269229173963,92.68343279383468,92.96993490448024
2016-07-07,93.75781570875549,94.18756887472381,93.6145646534327,94.11594334706243
2016-07-11,95.54845390029016,96.33633470456542,95.54845390029016,95.97820706625848
2016-07-12,96.19308364924265,96.8377133981951,96.19308364924265,96.8377133981951
2016-07-13,97.19584103650205,97.26746656416346,96.12145812158124,96.90933892585652
2016-07-14,96.69446234287234,97.19584103650205,96.4079602322268,96.9809644535179
2016-07-15,97.12421550884066,98.12697289610009,97.12421550884066,98.12697289610009
2016-07-18,98.0553473684387,99.05810475569812,98.0553473684387,99.05810475569812
2016-07-19,99.1297302833595,99.27298133868227,98.5567260620684,99.20135581102089
2016-07-20,98.84322817271395,99.27298133868227,98.5567260620684,99.1297302833595
2016-07-21,99.48785792166645,100.13248767061893,99.34460686634365,99.63110897698921
2016-07-22,99.63110897698921,99.84598555997337,99.1297302833595,99.27298133868227
2016-07-25,99.55948344932783,100.20411319828031,97.91209631311591,98.84322817271395
2016-07-26,98.84322817271395,99.41623239400506,98.62835158972979,99.41623239400506
2016-07-27,99.77436003231199,100.20411319828031,99.55948344932783,99.84598555997337
2016-07-28,100.06351494027832,100.42606390745324,99.48343659279844,100.1360247337133
2016-07-29,99.84598555997336,100.35355411401827,99.41092679936347,99.41092679936347
2016-08-01,99.77347576653838,100.71610308119318,99.77347576653838,100.49857370088823
2016-08-02,100.42606390745324,100.64359328775821,100.20853452714829,100.49857370088823
2016-08-03,99.33841700592848,99.91849535340836,98.68582886501362,99.70096597310341
2016-08-04,99.84598555997336,99.99100514684335,99.12088762562352,99.91849535340836
2016-08-05,100.20853452714829,101.15116184180309,99.91849535340836,100.93363246149812
2016-08-08,101.513710808978,101.87625977615293,101.07865204836811,101.586220602413
2016-08-09,101.513710808978,102.16629894989288,101.44120101554303,102.09378915645789
2016-08-10,101.94876956958791,102.38382833019782,101.586220602413,102.38382833019782
2016-08-11,101.80374998271795,102.31131853676284,100.71610308119318,101.44120101554303
2016-08-12,101.73124018928297,102.23880874332785,101.586220602413,101.80374998271795
2016-08-15,101.80374998271795,102.23880874332785,101.36869122210805,102.0212793630229
2016-08-16,101.94876956958791,102.23880874332785,101.07865204836811,101.44120101554303
2016-08-17,101.36869122210805,101.65873039584797,101.15116184180309,101.586220602413
2016-08-18,101.513710808978,101.73124018928297,101.22367163523806,101.36869122210805
2016-08-19,101.36869122210805,102.16629894989288,100.35355411401827,100.35355411401827
2016-08-22,100.06351494027832,100.28104432058329,99.2659072124935,99.62845617966842
2016-08-23,99.91849535340836,100.93363246149812,99.91849535340836,100.64359328775821
2016-08-24,100.5710834943232,100.86112266806315,100.35355411401827,100.35355411401827
2016-08-25,100.49857370088823,101.73124018928297,100.49857370088823,101.513710808978
2016-08-26,101.44120101554303,101.94876956958791,101.22367163523806,101.65873039584797
2016-08-29,101.36869122210805,101.73124018928297,100.35355411401827,101.586220602413
2016-08-30,101.513710808978,101.87625977615293,101.22367163523806,101.513710808978
2016-08-31,101.29618142867305,101.586220602413,100.49857370088823,100.64359328775821
2016-09-01,100.49857370088823,100.49857370088823,99.48343659279844,100.1360247337133
2016-09-02,100.20853452714829,100.49857370088823,99.77347576653838,100.28104432058329
2016-09-05,101.22367163523806,101.94876956958791,101.22367163523806,101.94876956958791
2016-09-06,101.87625977615293,102.81888709080773,101.87625977615293,102.74637729737273
2016-09-07,102.89139688424271,104.26908295950741,102.89139688424271,104.19657316607243
2016-09-08,104.12406337263744,104.12406337263744,103.54398502515758,103.8340241988975
2016-09-09,102.81888709080773,102.81888709080773,102.0212793630229,102.09378915645789
2016-09-10,100.28104432058329,100.93363246149812,100.06351494027832,100.64359328775821
2016-09-12,100.5710834943232,100.5710834943232,99.62845617966842,99.84598555997336
2016-09-13,100.20853452714829,100.35355411401827,98.90335824531859,99.84598555997336
2016-09-14,99.33841700592848,100.1360247337133,99.2659072124935,99.2659072124935
2016-09-19,100.64359328775821,102.9639066776777,100.64359328775821,102.9639066776777
2016-09-20,102.81888709080773,102.9639066776777,102.38382833019782,102.81888709080773
2016-09-21,102.60135771050277,103.47147523172258,102.31131853676284,103.32645564485262
2016-09-22,104.26908295950741,104.41410254637738,103.32645564485262,103.54398502515758
2016-09-23,103.68900461202755,104.26908295950741,103.54398502515758,104.26908295950741
2016-09-26,103.68900461202755,103.68900461202755,102.9639066776777,102.9639066776777
2016-09-29,104.19657316607243,104.63163192668235,103.54398502515758,104.26908295950741
2016-09-30,103.18143605798265,103.47147523172258,102.67386750393776,102.89139688424271
2016-10-03,103.25394585141764,103.8340241988975,103.10892626454766,103.61649481859256
2016-10-04,103.61649481859256,104.05155357920246,103.3989654382876,104.05155357920246
2016-10-05,103.8340241988975,104.19657316607243,103.61649481859256,103.68900461202755
2016-10-06,103.97904378576749,104.05155357920246,103.61649481859256,103.97904378576749
2016-10-07,103.8340241988975,104.12406337263744,103.8340241988975,103.9065339923325
2016-10-11,104.92167110042226,105.06669068729225,103.25394585141764,103.61649481859256
2016-10-12,103.68900461202755,104.84916130698728,103.47147523172258,104.77665151355231
2016-10-13,104.70414172011732,104.84916130698728,103.61649481859256,103.97904378576749
2016-10-14,103.3989654382876,104.26908295950741,103.3989654382876,103.61649481859256
2016-10-17,103.61649481859256,103.8340241988975,102.38382833019782,103.61649481859256
2016-10-18,103.68900461202755,104.3415927529424,103.3989654382876,104.3415927529424
2016-10-19,104.41410254637738,105.28422006759719,104.41410254637738,104.92167110042226
